Title = Jupiter Capture Orbit
Planet = Jupiter
Coordinates = PEI
Columns = JDCT, X, Y, Z
Format = CSV
$$BEGIN
2462502.5,145843.68,0.0,0.0
2462502.5416666665,112175.14051120364,127908.66711332499,22553.73574611144
2462502.5833333335,39866.55169942677,218718.1600323431,38565.84195929257
2462502.625,-39954.0122327379,278080.6051137638,49032.92190579629
2462502.6666666665,-117440.92291360097,317343.3498099445,55955.80658038884
2462502.7083333335,-190280.522247384,343460.03270991525,60560.60419504745
2462502.75,-258173.62746990626,360461.5783892433,63558.07508284682
2462502.7916666665,-321357.3635495158,370809.228845543,65382.205704297376
2462502.8333333335,-380190.7050687953,376097.80301828985,66314.21066877765
2462502.875,-435032.0345656933,377415.4358280081,66545.96335934344
2462502.9166666665,-486204.67156230414,375536.97394785885,66214.09613096114
2462502.9583333335,-533990.491657068,371033.98993696785,65419.39829049916
2462503.0,-578632.4339451,364340.6867685369,64238.43647471398
2462503.0416666665,-620339.39303522,355795.19763417396,62730.8366155405
2462503.0833333335,-659291.2749519715,345666.4907045722,60944.0277275086
2462503.125,-695643.5146842056,334172.49225882225,58916.437340199576
2462503.1666666665,-729530.900304415,321492.6534700323,56679.707344444556
2462503.2083333335,-761070.7387243684,307776.8876138892,54260.270098853536
2462503.25,-790365.4544419227,293152.06907910283,51680.495012226485
2462503.2916666665,-817504.719511961,277726.8538541544,48959.53969171786
2462503.3333333335,-842567.2029262619,261595.3197011368,46113.99352087969
2462503.375,-865622.012768632,244839.76146499882,43158.37251269973
2462503.4166666665,-886729.88912669,227532.87266224742,40105.50543436
2462503.4583333335,-905944.191689285,209739.47481758942,36966.83868899644
2462503.5,-923311.715368229,191517.90718493087,33752.67932702424
2462503.5416666665,-938873.361714603,172921.15527948766,30472.39065669004
2462503.5833333335,-952664.691781263,153997.77486971556,27134.55189706775
2462503.625,-964716.3835403115,134792.6556376455,23747.090869246636
2462503.6666666665,-975054.6122023689,115347.66068376487,20317.396379188547
2462503.7083333335,-983701.3663688055,95702.17103723828,16852.41499008018
2462503.75,-990674.7087853112,75893.55795192078,13358.735568023943
2462503.7916666665,-995988.9877554221,55957.60072990966,9842.664211114567
2462503.8333333335,-999655.0032550213,35928.86414609262,6310.291702004526
2462503.875,-1001680.1301397281,15841.046610950147,2767.5553094270845
2462503.9166666665,-1002068.4000046893,-4272.692321726214,-779.703436330338
2462503.9583333335,-1000820.5434667972,-24379.41810143581,-4325.683475020636
2462504.0,-997933.9950216439,-44446.11414786944,-7864.56999602233
2462504.0416666665,-993402.8620864204,-64439.374035950976,-11390.479856132617
2462504.0833333335,-987217.858366894,-84325.08453848994,-14897.405245578202
2462504.125,-979366.2000363072,-104068.09068976586,-18379.154161582148
2462504.1666666665,-969831.4618490094,-123631.83346115376,-21829.286106303407
2462504.2083333335,-958593.3891637389,-142977.94956024,-25241.041186617116
2462504.25,-945627.6606702603,-162065.8210673961,-28607.260447555902
2462504.2916666665,-930905.5952034481,-180852.05998040905,-31920.294794740243
2462504.3333333335,-914393.7942693181,-199289.90906111518,-35171.89921174648
2462504.375,-896053.7096982243,-217328.5353485991,-38353.108093406336
2462504.4166666665,-875841.1230640615,-234912.18582135843,-41454.086304424934
2462504.4583333335,-853705.5200095765,-251979.16520498207,-44463.948901128446
2462504.5,-829589.3381929266,-268460.58270982985,-47370.54012456414
2462504.5416666665,-803427.0619604996,-284278.795848747,-50160.15898658063
2462504.5833333335,-775144.1297424197,-299345.45282272395,-52817.214067573936
